internship_id,internship_title,required_skills,sector,location,description
INT2001,UI/UX Designer Intern,"Figma, Adobe XD, Illustrator",Design,Rural,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Figma, Adobe XD, Illustrator."
INT2002,Financial Analyst Intern,"Financial Modeling, Tally, Statistics, Accounting",Finance,Chennai,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in Financial Modeling, Tally, Statistics, Accounting."
INT2003,Content Writer Intern,"Copywriting, Adobe Premiere Pro, Research, Content Writing",Media,Delhi,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Copywriting, Adobe Premiere Pro, Research, Content Writing."
INT2004,Data Scientist Intern,"Node.js, Docker, C++",Software Development,Gurgaon,"Seeking a motivated Data Scientist Intern to join our Software Development team. The ideal candidate will have skills in Node.js, Docker, C++."
INT2005,Business Development Intern,"MS Office, Project Management",Management,Rural,"Seeking a motivated Business Development Intern to join our Management team. The ideal candidate will have skills in MS Office, Project Management."
INT2006,AI/ML Intern,"Python, C++, React",Software Development,Bangalore,"Seeking a motivated AI/ML Intern to join our Software Development team. The ideal candidate will have skills in Python, C++, React."
INT2007,Frontend Developer Intern,"React, Node.js, C++, Data Analysis",Software Development,Gurgaon,"Seeking a motivated Frontend Developer Intern to join our Software Development team. The ideal candidate will have skills in React, Node.js, C++, Data Analysis."
INT2008,Content Marketing Intern,"Google Analytics, SEO",Marketing,Pune,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in Google Analytics, SEO."
INT2009,Project Management Intern,"Communication, MS Office, Market Research",Management,Rural,"Seeking a motivated Project Management Intern to join our Management team. The ideal candidate will have skills in Communication, MS Office, Market Research."
INT2010,Investment Banking Intern,"Financial Modeling, Power BI, Statistics, Accounting",Finance,Rural,"Seeking a motivated Investment Banking Intern to join our Finance team. The ideal candidate will have skills in Financial Modeling, Power BI, Statistics, Accounting."
INT2011,Graphic Designer Intern,"Adobe XD, Photoshop",Design,Bangalore,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, Photoshop."
